x,y
1,1
100,3
1000,4
5000,6
10000,5
50000,9
100000,15
150000,31
200000,50
250000,60
300000,80
350000,100
400000,140
450000,160
500000,240
550000,275
600000,290
800000,350
1000000,360
3000,6.235013874038922
400,6.090547988156632
500,6.096047719324426
5100,6.35416860255852
